longitude,latitude,depth,vs
-120.2,43.6,36,4.4017
-120.2,43.6,37,4.4395
-120.2,43.6,38,4.4606
-120.2,43.6,39,4.4687
-120.2,43.6,40,4.4669
-120.2,43.8,-1,2.0107
-120.2,43.8,0,2.1837
-120.2,43.8,1,2.5272
-120.2,43.8,2,2.8713
-120.2,43.8,3,3.1026
-120.2,43.8,4,3.2075
-120.2,43.8,5,3.2603
-120.2,43.8,6,3.3338
-120.2,43.8,7,3.45
-120.2,43.8,8,3.5442
-120.2,43.8,9,3.5722
-120.2,43.8,10,3.5659
-120.2,43.8,11,3.5621
-120.2,43.8,12,3.5746
-120.2,43.8,13,3.5891
-120.2,43.8,14,3.5806
-120.2,43.8,15,3.5556
-120.2,43.8,16,3.5208
-120.2,43.8,17,3.4773
-120.2,43.8,18,3.4324
-120.2,43.8,19,3.4036
-120.2,43.8,20,3.383
-120.2,43.8,21,3.3666
-120.2,43.8,22,3.364
-120.2,43.8,23,3.3804
-120.2,43.8,24,3.4138
-120.2,43.8,25,3.4639
-120.2,43.8,26,3.5281
-120.2,43.8,27,3.6058
-120.2,43.8,28,3.6942
-120.2,43.8,29,3.7919
-120.2,43.8,30,3.8949
-120.2,43.8,31,3.9983
-120.2,43.8,32,4.0991
-120.2,43.8,33,4.192
-120.2,43.8,34,4.2723
-120.2,43.8,35,4.3374
-120.2,43.8,36,4.3836
-120.2,43.8,37,4.4129
-120.2,43.8,38,4.4257
-120.2,43.8,39,4.4251
-120.2,43.8,40,4.4135
-120.2,44.0,-1,2.2735
-120.2,44.0,0,2.3963
-120.2,44.0,1,2.6061
-120.2,44.0,2,2.8586
-120.2,44.0,3,3.0791
-120.2,44.0,4,3.1705
-120.2,44.0,5,3.195
-120.2,44.0,6,3.2461
-120.2,44.0,7,3.3331
-120.2,44.0,8,3.4164
-120.2,44.0,9,3.46
-120.2,44.0,10,3.4696
-120.2,44.0,11,3.4903
-120.2,44.0,12,3.5392
-120.2,44.0,13,3.5971
-120.2,44.0,14,3.6348
-120.2,44.0,15,3.6369
-120.2,44.0,16,3.606
-120.2,44.0,17,3.5589
-120.2,44.0,18,3.5091
-120.2,44.0,19,3.4735
-120.2,44.0,20,3.4525
-120.2,44.0,21,3.4343
-120.2,44.0,22,3.4246
-120.2,44.0,23,3.4304
-120.2,44.0,24,3.4545
-120.2,44.0,25,3.4975
-120.2,44.0,26,3.5571
-120.2,44.0,27,3.6312
-120.2,44.0,28,3.7136
-120.2,44.0,29,3.8005
-120.2,44.0,30,3.8873
-120.2,44.0,31,3.9711
-120.2,44.0,32,4.0493
-120.2,44.0,33,4.1204
-120.2,44.0,34,4.1835
-120.2,44.0,35,4.2382
-120.2,44.0,36,4.2814
-120.2,44.0,37,4.313
-120.2,44.0,38,4.333
-120.2,44.0,39,4.3416
-120.2,44.0,40,4.3393
-120.2,44.2,-1,2.4837
-120.2,44.2,0,2.597
-120.2,44.2,1,2.7893
-120.2,44.2,2,2.9435
-120.2,44.2,3,3.1688
-120.2,44.2,4,3.3418
-120.2,44.2,5,3.359
-120.2,44.2,6,3.3118
-120.2,44.2,7,3.3053
-120.2,44.2,8,3.3566
-120.2,44.2,9,3.4007
-120.2,44.2,10,3.4028
-120.2,44.2,11,3.3963
-120.2,44.2,12,3.4313
-120.2,44.2,13,3.4938
-120.2,44.2,14,3.566
-120.2,44.2,15,3.6224
-120.2,44.2,16,3.6458
-120.2,44.2,17,3.6555
-120.2,44.2,18,3.6632
-120.2,44.2,19,3.6592
-120.2,44.2,20,3.6361
-120.2,44.2,21,3.6061
-120.2,44.2,22,3.5727
