longitude,latitude,depth,vs
-120.2,44.2,49,4.2728
-120.2,44.2,50,4.2457
-120.2,44.2,51,4.223
-120.2,44.2,52,4.2077
-120.2,44.2,53,4.1986
-120.2,44.2,54,4.1923
-120.2,44.2,55,4.1867
-120.2,44.2,56,4.181
-120.2,44.2,57,4.1757
-120.2,44.2,58,4.1707
-120.2,44.2,59,4.1639
-120.2,44.2,60,4.1512
-120.2,44.2,61,4.1333
-120.2,44.2,62,4.1095
-120.2,44.2,63,4.0834
-120.2,44.2,64,4.0608
-120.2,44.2,65,4.0387
-120.2,44.2,66,4.0101
-120.2,44.2,67,3.9805
-120.2,44.2,68,3.9555
-120.2,44.2,69,3.9363
-120.2,44.2,70,3.9201
-120.2,44.2,71,3.9057
-120.2,44.2,72,3.8943
-120.2,44.2,73,3.8882
-120.2,44.2,74,3.8859
-120.2,44.2,75,3.8854
-120.2,44.2,76,3.8833
-120.2,44.2,77,3.8784
-120.2,44.2,78,3.8698
-120.2,44.2,79,3.8597
-120.2,44.2,80,3.8508
-120.2,44.4,41,4.183
-120.2,44.4,42,4.2282
-120.2,44.4,43,4.2744
-120.2,44.4,44,4.3218
-120.2,44.4,45,4.3678
-120.2,44.4,46,4.4082
-120.2,44.4,47,4.4406
-120.2,44.4,48,4.4648
-120.2,44.4,49,4.4762
-120.2,44.4,50,4.4734
-120.2,44.4,51,4.4567
-120.2,44.4,52,4.4291
-120.2,44.4,53,4.3933
-120.2,44.4,54,4.3547
-120.2,44.4,55,4.3181
-120.2,44.4,56,4.2867
-120.2,44.4,57,4.2635
-120.2,44.4,58,4.249
-120.2,44.4,59,4.2418
-120.2,44.4,60,4.2384
-120.2,44.4,61,4.2357
-120.2,44.4,62,4.2283
-120.2,44.4,63,4.2153
-120.2,44.4,64,4.2001
-120.2,44.4,65,4.1781
-120.2,44.4,66,4.1472
-120.2,44.4,67,4.1122
-120.2,44.4,68,4.0776
-120.2,44.4,69,4.0448
-120.2,44.4,70,4.0162
-120.2,44.4,71,3.9951
-120.2,44.4,72,3.983
-120.2,44.4,73,3.9812
-120.2,44.4,74,3.9864
